Country,nij_lr,nij_lroe,nij_qs,nij_sir,nij_coki,pref_lr,pref_lroe,pref_sir,pref_qs,pref_coki
Indonesia,3,3,34,72,609,0.07,0.07,0.51,0.7,1.36
Iran,46,46,15,164,307,1.36,1.36,1.45,0.38,0.86
Iraq,0,0,8,67,86,0,0,2.12,0.73,0.86
Ireland,7,7,9,14,33,1.71,1.71,1.02,1.9,0.76
Israel,8,8,7,20,55,1.4,1.4,1.04,1.06,0.91
Italy,49,49,52,79,149,2.22,2.22,1.07,2.03,0.64
Ivory Coast,0,0,0,2,13,0,0,0.68,0,1.4
Jamaica,0,0,1,1,6,0,0,0.64,1.85,1.21
Japan,59,59,44,180,863,0.84,0.84,0.76,0.54,1.16
Jordan,1,1,11,25,27,0.26,0.26,1.96,2.5,0.67
Kazakhstan,1,1,17,16,76,0.15,0.15,0.74,2.26,1.11
Kenya,0,0,1,8,54,0,0,0.65,0.23,1.38
Kosovo,0,0,0,2,7,0,0,1.13,0,1.26
Kuwait,1,1,3,5,11,0.82,0.82,1.22,2.11,0.85
Kyrgyzstan,0,0,1,1,23,0,0,0.2,0.59,1.48
Laos,0,0,0,0,3,0,0,0,0,1.61
Latvia,0,0,5,5,29,0,0,0.65,1.9,1.2
Lebanon,1,1,7,8,29,0.37,0.37,0.89,2.25,1.02
Lesotho,0,0,0,1,1,0,0,2.55,0,0.81
Liberia,0,0,0,0,3,0,0,0,0,1.61
Libya,0,0,0,2,14,0,0,0.64,0,1.41
Liechtenstein,0,0,0,0,3,0,0,0,0,1.61
Lithuania,4,4,6,8,35,1.2,1.2,0.72,1.56,0.99
Luxembourg,1,1,1,1,3,2.45,2.45,0.73,2.11,0.69
Macau,0,0,2,5,7,0,0,1.82,2.11,0.81
Madagascar,0,0,0,1,7,0,0,0.64,0,1.41
Malawi,0,0,0,2,9,0,0,0.93,0,1.32
Malaysia,8,8,29,41,86,0.8,0.8,1.22,2.49,0.81
Maldives,0,0,0,0,2,0,0,0,0,1.61
Mali,0,0,0,0,6,0,0,0,0,1.61
Malta,0,0,1,1,3,0,0,1.02,2.96,0.97
Mauritania,0,0,0,0,3,0,0,0,0,1.61
