ror,lr,lroe,coki,qs,sir
02rtsfd15,0,0,1,0,0
02vvvm705,0,0,1,0,0
02w2y2t16,0,0,1,0,1
02wxx3e24,0,0,1,0,1
02xdzy536,0,0,1,0,0
02xstm723,0,0,1,0,0
02yrs2n53,0,0,1,1,1
02ywmkj38,0,0,1,0,0
02zp2df93,0,0,1,0,0
0304hq317,1,1,1,1,1
030sdwr92,0,0,1,0,0
031bsb921,0,0,1,1,1
031eq5e98,0,0,1,0,0
031ph8d53,0,0,1,0,0
031vc2293,1,1,1,1,1
032000t02,1,1,1,1,1
032xqbj11,0,0,1,0,0
033bb5z47,0,0,1,0,1
033eqas34,1,1,1,1,1
033jd5r25,0,0,1,0,0
033n9gh91,1,1,1,0,1
03606hw36,0,0,1,0,1
0367m1n91,0,0,1,0,0
036f7qt17,0,0,1,0,0
036smcz74,0,0,1,0,0
0378gm372,0,0,1,0,0
038ftp957,0,0,1,0,0
038fwdn76,0,0,1,0,0
038rep477,0,0,1,0,0
038t2yw28,0,0,1,0,0
038t36y30,1,1,1,1,1
039gdg280,0,0,1,0,0
039jwf091,0,0,1,0,0
03a1kwz48,1,1,1,1,1
03afcx965,0,0,1,0,0
03aft2f80,0,0,1,0,0
03aky0p13,0,0,1,0,0
03b7zcy46,0,0,1,0,0
03b9q7371,0,0,1,0,0
03bavdz78,0,0,1,0,0
03bh13774,0,0,1,0,0
03bnmw459,1,1,1,1,1
03bthq143,0,0,1,0,0
03c0qqf32,0,0,1,0,0
03ccc5z68,0,0,1,0,0
03crxcn36,0,0,1,0,0
03czk8k96,0,0,1,0,0
03d0yjb51,0,0,1,0,0
03d1zwe41,0,0,1,0,0
03dv91853,0,0,1,0,1
03efsge90,0,0,1,0,0
03eqwj662,0,0,1,0,0
03eznrw16,0,0,1,0,0
03gf02c22,0,0,1,0,0
03ggzay52,0,0,1,0,0
03gzxs418,0,0,1,0,0
03hbmgt12,0,0,1,0,0
03hj50651,0,0,1,0,0
03hj8rz96,0,0,1,0,0
03hzkp562,0,0,1,0,0
03k5bhd83,0,0,1,0,0
03kzgcv48,0,0,1,0,0
03m2kj587,0,0,1,0,0
03p14d497,1,1,1,0,1
03pqf0084,0,0,1,0,0
03q0ab227,0,0,1,0,0
03rkmps36,0,0,1,0,1
03s7gtk40,1,1,1,1,1
03t7d6q88,0,0,1,0,0
03t7jd518,0,0,1,0,0
03v4gjf40,1,1,1,1,1
03vz3qc29,0,0,1,0,0
03w3a0h43,0,0,1,0,0
03xgcq477,0,0,1,0,1
03xp99m49,0,0,1,0,0
03y02pg02,0,0,1,0,0
03yjyed28,0,0,1,0,0
03z6vda50,0,0,1,0,0
03zdwsf69,1,1,1,1,1
03zekj455,0,0,1,0,0
03zh5eq96,0,0,1,0,1
040d40q10,0,0,1,0,0
041bz9r75,0,0,1,0,0
041nas322,1,1,1,1,1
041w2kh96,0,0,1,0,0
042aqky30,1,1,1,1,1
042xxdh20,0,0,1,0,0
0433e6t24,0,0,1,0,1
044rf5p19,0,0,1,0,0
044w5t390,0,0,1,0,0
04580fn28,0,0,1,0,0
045f0ws19,0,0,1,0,0
045gdxt02,0,0,1,0,0
045y6d111,0,0,1,0,0
046ak2485,1,1,1,1,1
046e0mt33,0,0,1,0,0
046ns5110,0,0,1,0,0
0473a4773,0,0,1,0,1
047h65335,0,0,1,0,0
047wbd030,0,0,1,0,1
04839sh14,0,0,1,0,1
048gb8814,0,0,1,0,0
048yn7628,0,0,1,0,0
04b404920,0,0,1,0,0
04b9vrm74,0,0,1,0,1
04bs1pb34,0,0,1,1,1
04cvxnb49,1,1,1,1,1
04d5zsn45,0,0,1,0,0
04dmvwm54,0,0,1,0,0
04e1yzk82,0,0,1,0,0
04e209f39,0,0,1,0,0
04e8jbs38,0,0,1,0,1
04eejsy70,0,0,1,0,0
04eka8j06,0,0,1,0,0
04ers2y35,1,1,1,1,1
04f7jc139,0,0,1,0,0
04f8x5b20,0,0,1,0,0
04fdat027,0,0,1,0,0
04g5gcg95,0,0,1,0,0
04g99jx54,0,0,1,0,0
04gg60e72,0,0,1,0,1
04hazks31,0,0,1,0,0
04hsa7a08,0,0,1,0,0
04j1sr579,0,0,1,0,0
04j351e79,0,0,1,0,0
04kzfg204,0,0,1,0,0
04m2anh63,0,0,1,0,1
04ms51788,0,0,1,0,0
04msbx814,0,0,1,0,0
04mz5ra38,1,1,1,1,1
04nbz6d36,0,0,1,0,0
04nkken68,0,0,1,0,0
04p61dj41,0,0,1,0,0
04p7ekn23,0,0,1,0,0
04q5vv384,0,0,1,0,0
04qb8nc58,0,0,1,0,1
04qbqv677,0,0,1,0,0
04qfbfc73,0,0,1,0,0
04qj3gf68,0,0,1,0,0
04qmmjx98,0,0,1,0,1
04rnfrn04,0,0,1,0,0
04sms9203,0,0,1,0,0
04sn8qj61,0,0,1,0,0
04t3en479,1,1,1,1,1
04t5phd24,0,0,1,0,0
04tenkb98,0,0,1,0,0
04tkkr536,0,0,1,0,1
04tqgg260,0,0,1,0,0
04tsk2644,1,1,1,1,1
04v76ef78,1,1,1,1,1
04vjfp916,0,0,1,0,0
04vnq7t77,1,1,1,1,1
04vpsen23,0,0,1,0,0
04vq9c111,0,0,1,0,0
04w23p232,0,0,1,0,0
04w49ae90,0,0,1,0,0
04wb1en98,0,0,1,0,0
04wdt0z89,0,0,1,0,0
04x02q560,0,0,1,0,0
04xfq0f34,1,1,1,1,1
04xsjvn35,0,0,1,0,0
04z03cz64,0,0,1,0,0
04zc7p361,1,1,1,0,1
04zrf7b53,0,0,1,0,0
051qw9f78,0,0,1,0,0
051rc7j94,0,0,1,0,0
05256tw11,0,0,1,0,0
052gzq419,0,0,1,0,0
0530gbs37,0,0,1,0,0
0546hnb39,1,1,1,1,1
05591te55,1,1,1,1,1
055s1wn27,0,0,1,0,0
0560e8961,0,0,1,0,0
056cezx90,0,0,1,0,0
056tzgr32,0,0,1,0,0
056z5bx32,0,0,1,0,0
057qv9h29,0,0,1,0,0
05874db82,0,0,1,0,0
058ddgs73,0,0,1,0,0
058kzsd48,1,1,1,0,1
058rn5r42,0,0,1,0,1
059vymd37,0,0,1,0,1
05b38ps04,0,0,1,0,0
05bv91d86,0,0,1,0,0
05c11k793,0,0,1,0,0
05dkqa017,0,0,1,0,0
05e5kd476,0,0,1,0,0
05eyxqf74,0,0,1,0,0
05gqaka33,1,1,1,1,1
05gxyna29,0,0,1,0,0
05jgq9443,0,0,1,0,0
05k17x772,0,0,1,0,0
05k2sh226,0,0,1,0,0
05k9vmz93,0,0,1,0,0
05kkv3f82,0,0,1,0,1
05m0ggf57,0,0,1,0,0
05m3vpd98,0,0,1,0,1
05myv7q56,0,0,1,0,0
05n911h24,1,1,1,1,1
05q5pk319,0,0,1,0,0
05qpz1x62,1,1,1,1,1
05tbc9841,0,0,1,0,0
05tbp1g38,0,0,1,0,1
05tn39y33,0,0,1,0,0
05w6fhk97,0,0,1,0,0
05xy1nn52,0,0,1,0,0
05ydjnb78,0,0,1,0,1
05ygfpx91,0,0,1,0,0
